구분,<1H,"1H<=, <2H","2H<=, <3H","3H<=, <4H","4H<=, <5H","5H<=, <6H",6H<=,전체
전체,2617,1815,188,56,18,14,5,4716
청소년,890,587,53,19,8,6,0,1565
성인,1727,1229,132,41,13,6,3,3151
만9~12세,293,179,14,5,3,1,0,497
만13~15세,256,161,13,3,3,2,0,437
만16~19세,341,247,27,11,2,3,1,631
만20~24세,345,241,26,6,4,1,0,622
만25~29세,437,317,33,8,2,1,1,798
만30~34세,467,302,32,8,2,3,2,815
만35~39세,477,369,44,19,4,3,1,916
남성,1368,947,98,32,7,5,2,2460
여성,1248,871,88,27,14,9,0,2256
대도시,1242,856,89,29,7,9,0,2229
중소도시,1173,847,91,28,13,4,2,2160
읍 / 면지역,201,114,7,2,1,0,0,326
